#{"t_start": 1775473419.0961323, "env_id": "None"}
r,l,t
-4199.213926,150,23.074415
-1801.181379,150,25.080564
-13356.828454,150,27.087954
-2371.275024,150,28.902997
-18300.159272,150,30.780293
-10418.878224,150,54.166236
-5220.023327,150,55.995884
-12671.822186,150,58.003473
-17086.610418,150,60.04618
-18622.615206,150,61.920785
-18086.32047,150,87.951309
-11813.762772,150,90.196205
-8692.645077,150,92.419935
-1492.569438,150,94.370672
-17820.01736,150,96.410748
-12939.477514,150,120.483481
-12737.645642,150,122.36561
-7349.621569,150,124.26514
-16230.31568,150,125.881966
-257.695571,150,127.272322
